Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner
SK Raina (INDIA),3,3,0,112,40,37.33,116,96.55,0,0,0,7,4,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,,
AM Rahane (INDIA),3,3,0,112,63,37.33,154,72.72,0,1,0,13,0,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,,
GJ Maxwell (AUS),3,3,0,112,62,37.33,117,95.72,0,1,0,9,3,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,,
S Dhawan (INDIA),5,5,0,112,38,22.4,126,88.88,0,0,0,15,3,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,,
MK Pandey (INDIA),3,2,1,110,104*,110,86,127.9,1,0,0,9,1,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
MR Marsh (AUS),3,3,1,110,69*,55,118,93.22,0,1,1,13,2,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,,
AJ Finch (AUS),5,5,0,108,53,21.6,110,98.18,0,1,0,10,6,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,,
HH Pandya (INDIA),5,3,1,105,76,52.5,54,194.44,0,1,0,4,10,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
Yuvraj Singh (INDIA),5,4,1,105,53,35,106,99.05,0,1,0,13,2,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
KD Karthik (INDIA),3,3,2,105,64*,105,142,73.94,0,1,0,8,0,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,,
AT Rayudu (INDIA),3,2,2,103,62*,-,164,62.8,0,1,0,12,0,11-Jun-16,India
"India in Zimbabwe ODI Series, 2016",,,,,,,,,,,,,,,
SPD Smith (AUS),5,5,0,102,45,20.4,148,68.91,0,0,0,4,1,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,,
MS Dhoni (INDIA),5,4,1,100,79,33.33,114,87.71,0,1,0,6,3,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
BJ Haddin (AUS),7,4,2,95,43,47.5,66,143.93,0,0,0,11,4,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
AJ Finch (AUS),3,3,0,95,68,31.66,109,87.15,0,1,0,11,0,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
UT Khawaja (AUS),2,2,0,94,50,47,85,110.58,0,1,0,11,2,6-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,,
